a_1,a_2,a_3,b_1,b_2,b_3,c_1,c_2,c_3,d_1,d_2,d_3
0,0,0,1,1,1,1,1,0,1,0,1
0,0,0,0,0,0,1,1,0,1,0,0
0,0,0,1,0,0,0,0,1,1,0,0
1,0,1,0,0,0,1,1,1,1,1,0
1,0,0,0,0,0,0,0,0,1,1,0
1,0,0,0,0,0,1,0,0,0,0,1
1,1,0,1,0,1,0,0,0,1,1,1
1,1,0,1,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,1,0,0
1,1,1,1,1,0,1,0,1,0,0,0
0,0,0,1,1,0,1,0,0,0,0,0
1,0,0,0,0,1,1,0,0,0,0,0
