a_1,a_2,b_1,b_2,c_1,c_2
0,0,a_1,a_1,a_1,0
0,0,0,0,a_2,0
b_1,0,0,0,b_1,b_1
b_2,0,0,0,0,0
c_1,c_1,c_1,0,0,0
0,0,c_2,0,0,0
